KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
hudOreWithAmount,{0}\n({1}% ores left of ca. {2}),{0}\n({1}% Rohstoffe übrig von ca. {2}),{0}\n({1}% de minerai restant sur {2}),{0}\n({1}% minerali rimasti su {2}),{0}\n({1}% minerales restandes de {2}),{0}\n({1}% minérios restantes de {2}),{0}\n({1}% minérios restantes de {2}),{0}\n({1}% surowca z ok. {2}),{0}\n({1}% руды из {2}),"{0}\n({2}, 残量 {1}%)",{0}\n ({1}% 矿物剩余在 {2}),{0}\n{2})剩餘({1}% 礦石,{0}\n({2} 왼쪽에 있는 {1}% 광석),,{0}\n(Απομένει το {1}% από τα {2} μεταλλεύματα),{0}\n({1}% erts over van ca. {2}),{0}\n ({1}% quặng còn lại trong khoảng {2})
hudToTarget,to {0},zu {0},vers {0},a {0},a {0},para {0},para {0},do {0},до {0},{0}へ,到 {0},至{0},,,σε {0},naar {0},đến {0}
igmBlockAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um auf {0} zuzugreifen,Pressez '{{0}}' pour accéder à: {0},Premi '{{0}}' per accedere a: {0},Pulsa '{{0}}' para acceder a {0},Prima '{{0}}' para ceder {0},Pressione '{{0}}' para acessar {0},Naciśnij '{{0}}' aby uzyskać dostęp do {0},Нажмите '{{0}}' чтобы получить доступ к {0},{{0}}' を押して {0} を拾います. ,按 '{{0}}'键以访问 {0},按'{{0}}'存取{0},{0}에 접근하려면 '{{0}}'을(를) 누르십시오.,,Πάτησε το '{{0}}' για να αποκτήσεις πρόσβαση στο αντικείμενο {0},Druk '{{0}}' om toegang tot {0} te krijgen,Nhấn '{{0}}' để truy cập {0}
igmBlockCountExceeded,Cannot place {0} as only {1} allowed! Currently placed: {2},Kann {0} nicht setzen da nur {1} erlaubt sind! Aktuell platziert: {2},Impossible de placer {0} car uniquement {1} est/sont permis! Déjà placé(s): {2},Impossibile posizionare {0}! Limite consentito: {1}! Attualmente presenti: {2},¡No se puede colocar {0} ya que solo {1} está permitido! Colocado actualmente: {2},Não é possível colocar {0} quando apenas {1} é permitido! Atualmente colocado: {2},Impossível colocar {0} pois somente {1} blocos é permitido! Atualmente possui {2}.,Nie można umieścić {0}. Dozwolone są tylko {1}! Obecnie umieszczonych jest: {2},Невозможно установить {0}! Доступно лишь {1}! Сейчас установлено: {2},{0}は{1}しか置くことができません! 現在配置されている:{2},不能放置{0}，只允许{1}个！ 目前放置数量:{2},無法放置{0}，僅限{1}可用！目前已放置：{2},{1}만 허용되므로 {0}을(를) 놓을 수 없습니다! 현재 배치된 아이템: {2},,Δεν μπορείς να τοποθετήσεις {0} καθώς επιτρέπονται μόνο {1}! Έχουν τοποθετηθεί: {2},Kan {0} niet plaatsen omdat slechts {1} toegestaan zijn! Geplaatst aantal: {2},Không thể đặt {0} vì chỉ {1} được phép! Hiện đang đặt: {2}
igmBlockPickup,Press '{{0}}' to pick up {0},Drücke '{{0}}' um {0} aufzuheben,Pressez '{{0}}' pour récupérer: {0},Premi '{{0}}' per raccogliere {0},Pulsa '{{0}}' para recoger {0},Prima '{{0}}' para apanhar {0},,Naciśnij '{{0}}' aby podnieść {0},Нажмите '{{0}}' чтобы взять {0},{{0}}' を押して{0}をピックアップしてください,按 '{{0}}'键以拾取 {0},按'{{0}}'拾取{0},{{0}}'을(를) 선택하려면 {0}을(를) 누르십시오.,,Πάτησε το '{{0}}' για να σηκώσεις το αντικείμενο {0},Druk '{{0}}' om {0} op te pakken,Nhấn '{{0}}' để nhận {0}
igmBlockTooFarFromCenter,Too far away from the center of the structure,Zu weit vom Zentrum der Struktur entfernt,Trop distant du centre de la structure,Troppo lontano dal centro della struttura,Demasiado lejos del centro de la estructura,Demasiado longe do centro da estrutura,Longe demais do centro da estrutura,Zbyt daleko od środka struktury,Слишком далеко от центра структуры,構造の中心から遠すぎる,离建筑物中心太远了,距離建築中心過遠,구조물 중심에서 너무 멀리 떨어져 있습니다.,,Πολύ μακριά από το κέντρο του κτιρίου,Te ver uit het midden van huidige constructie,Quá xa trung tâm của cấu trúc
igmBlockWrongFaction,Cannot access {0}: other faction!,Kann {0} nicht zugreifen: andere Fraktion!,Accès impossible {0}: autre faction!,Impossibile accedere a {0}: di un'altra fazione!,¡No se puede acceder a {0}: ¡es de otra facción!,Não é possível aceder {0}: outra fação!,Não é possível acessar {0}: outra facção!,Nie można uzyskać dostępu do {0}: inny sojusz!,Нет доступа {0}: другая фракция!,{0}にはアクセスできない:他の勢力!,拒绝访问 {0}:派系不同,無法存取{0}：其他陣營！,{0}에 접근할 수 없습니다: 다른 진영을 시도해 보십시오!,,Απαγορεύεται η πρόσβαση στο {0}: άλλη Φατρία!,Geen toegang {0}: Andere factie!,Không thể truy cập {0}: phe khác!
igmBpSaveError,Could not save Blueprint!,Konnte Bauplan nicht speichern!,Impossible d'enregistrer le Blueprint !,Impossibile salvare il Progetto!,¡No se pudo guardar el plano!,Não foi possível salvar Projeto!,Não foi possível salvar o Modelo!,Nie można zapisać projektu!,Не удалось сохранить чертеж!,設計図をセーブできませんでした!,无法保存蓝图！,無法儲存設計圖！,설계도를 저장할 수 없습니다!,,Η αποθήκευση του προσχεδίου δεν είναι δυνατή!,Kon blauwdruk niet opslaan!,Không thể lưu Bản thiết kế chi tiết!
igmCanEnterAsPassenger,You can enter a planet only as a passenger!,Du kannst den Planeten nur als Passagier betreten!,Vous pouvez descendre sur une planète seulement en tant que passager !,È possibile scendere su un pianeta solo come passeggero!,¡Sólo puedes entrar en un planeta como pasajero!,Pode entrar num planeta apenas como passageiro!,Você pode entrar em um planeta apenas como passageiro!,Możesz dostać się na planetę tylko jako pasażer!,Вы можете войти в атмосферу планеты только в качестве пассажира!,"惑星に侵入するには, 乗客席についている必要があります!",你只能坐在驾驶室或乘客位上进入一个星球！,你無法僅作為乘客進入星球！,,,Μπορείς να μπεις στον πλανήτη μόνο ως επιβάτης!,Je kunt de atmosfeer enkel als passagier binnen komen!,Bạn chỉ có thể vào một hành tinh với tư cách là một hành khách!
igmCannotChangeStructure,You cannot change this structure with the Multitool,Du kannst diese Struktur mit dem Multitool nicht ändern,Vous ne pouvez pas modifier cette structure avec l'Outil Multifonction,Non è possibile effettuare modifiche a questa struttura con il Multi-Tool,No puedes cambiar esta estructura con la Multiherramienta,Não pode mudar esta estrutura com a Multiferramenta,Você não pode alterar essa estrutura com a Multi Ferramenta,Nie możesz zmienić tej struktury przy użyciu Multinarzędzia,Вы не можете изменить эту постройку при помощи Мульти-инструмента,マルチツールでこの構造を変更することはできません,你不能使用多功能建造枪改变这个建筑,你無法使用多用途工具更改此建築,,,Δεν μπορείς να αλλάξεις αυτή την κατασκευή με το Εργαλείο Πολλαπλών Χρήσεων,Je kunt deze constructie niet wijzigen met de multitool,Bạn không thể thay đổi cấu trúc này với Công cụ đa năng
igmCannotDigHere,You cannot dig here,Du kannst hier nicht graben,Vous ne pouvez pas creuser ici,Non puoi scavare qua,No puedes cavar aquí,Não pode escavar aqui,Você não pode cavar aqui,Nie możesz tutaj wiercić,Вы не можете здесь копать,ここを掘れません,你不能在此处挖掘,你無法在此挖掘,,,Δεν μπορείς να σκάψεις εδώ,Je kunt hier niet graven,Bạn không thể đào ở đây
igmCannotEnterTooNearToPlanet,"Cannot enter, too close to a planet!",Einsteigen nicht möglich. Zu nahe am Planeten.,"Impossible d'entrer, trop proche d'une planète.","Impossibile entrare, troppo vicino a un pianeta!","¡No se puede entrar, demasiado cerca de un planeta!",Não pode entrar. Demasiado perto de um planeta!,Impossível entrar tão próximo a um planeta!,"Nie można wejść, zbyt blisko planety!","Невозможно войти, слишком близко к планете!",これ以上惑星の近くに進入できません!,不能进入，离星球太近！,無法進入，距離星球過近！,,,Δεν μπορείς να πας πολύ κοντά σε έναν πλανήτη!,"Kan niet gebruiken, te dicht bij een planeet","Không thể vào, quá gần với một hành tinh!"
igmCannotPlaceAtRegenerateable,Cannot place a block in a regeneretable Base,Kann einen Block nicht in eine regenerierbare Basis setzen,Vous ne pouvez pas utiliser de bloc sur une base regénérée,Impossibile posizionare blocchi in una Base Rigenerabile,No se puede colocar un bloque en una Base regenerable,Não é possível colocar um bloco numa Base regenerável,Não é possível colocar um bloco em uma Base regenerável,Nie można umieścić bloku w odnawialnej bazie,Нельзя разместить блок пока база регенерирует,再生可能なベースにブロックを配置することはできません,不能在可刷新建筑里放置方块,無法在可再生基地放置方塊,재생성 가능한 기지에 블록을 놓을 수 없습니다.,,Δεν μπορείς να τοποθετήσεις μπλοκ σε μία τροφοδοτούμενη Βάση,Kan blok niet plaatsen in een re-genererende basis,Không thể đặt một khối trong một Cơ sở có thể phục hồi
igmCannotPlaceBlockOn,You cannot place this block on {0}. Please check the block attributes for further info.,Du kannst den Block nicht auf {0} setzen. Bitte schau in die Blockattribute für weitere Infos.,Le bloc ne peut pas être placé sur {0}. Vérifiez les attributs du bloc pour plus d'information.,Non puoi posizionare questo blocco su {0}. Controlla le proprietà del blocco per ulteriori informazioni.,"No puedes poner este bloque en {0}. Por favor, comprueba los atributos del bloque para más información.",Não pode colocar este bloco em {0}. Verifique os atributos do bloco para mais informações.,Você não pode por este bloco em {0}. Verifique os atributos do bloco para mais informações.,"Nie możesz umieścić tego bloku na {0}. Aby uzyskać więcej informacji, proszę o sprawdzenie atrybutów bloku.","Вы не можете поместить блок на {0}. Пожалуйста, посмотрите атрибуты блока для дополнительной информации.",このブロックを{0}に配置することはできません. ブロックの属性を確認してください. ,你不能在 {0}上放置此方块。请查阅方块属性获得更多信息。,無法放置此方塊於{0}。請檢查方塊屬性獲取詳細資訊。,이 블록은 {0}에 둘 수 없습니다. 자세한 정보는 블록 속성을 확인하십시오.,,Δεν μπορείς να τοποθετήσεις αυτό το μπλοκ σε {0}. Έλεγξε τα χαρακτηριστικά του μπλοκ για περισσότερες πληροφορίες.,Blok kan niet geplaatst worden op {0}. Check de blok attributen voor meer informatie.,Bạn không thể đặt khối này trên {0}. Vui lòng kiểm tra các thuộc tính khối để biết thêm thông tin.
igmCannotPlaceGeneral,Cannot place it here,Kann es hier nicht platzieren,Vous ne pouvez pas construire ici,Impossibile posizionare qua,No se puede colocar aquí,Não o pode colocar aqui,Não pode ser colocado aqui,Nie można tego tutaj umieścić,Невозможно поместить здесь,ここに置くことはできません,不能在此放置该物品,無法在此放置,여기에 놓을 수 없습니다.,,Δεν μπορείς να το τοποθετήσεις εδώ,Kan hier niet plaatsen,Không thể đặt nó ở đây
igmCannotPlaceInSpace,You can not place this in space,Das kannst du nicht im All platzieren,Ne peut pas être placé dans l'espace,Impossibile posizionare nello spazio,No puedes colocar esto en el espacio,Não pode colocar isto no espaço,Você não pode colocar isso no espaço,Nie możesz tego umieścić w kosmosie,Вы не можете разместить это в открытом космосе,この場所に配置することはできません,不能在太空放置此物品,無法放置於太空中,이것은 우주에 놓을 수 없습니다.,,Δεν μπορείς να το τοποθετήσεις στο διάστημα,Je kunt deze niet in de ruimte plaatsen,Bạn không thể đặt cái này trong không gian
igmCannotPlaceOnPlanet,You can not place this on a planet,Das kannst du nicht auf einem Planeten platzieren,Ne peut pas être placé sur une planète,Impossibile posizionare su un pianeta,No puedes colocar esto en un planeta,Não pode colocar isto num planeta,Você não pode colocar isso em um planeta,Nie możesz tego umieścić na planecie,Вы не можете разместить это на планете,惑星上でこれを配置することはできません,不能在星球上放置此物品,無法放置於星球上,이것은 행성에 놓을 수 없습니다.,,Δεν μπορείς να το τοποθετήσεις στον πλανήτη,Je kunt deze niet op een planeet plaatsen,Bạn không thể đặt cái này trên một hành tinh
igmChapterAutoActivated,In your PDA chapter '{0}' was activated. Open PDA with F1,In deinem PDA wurde Kapitel '{0}' aktiviert. Öffne PDA mit F1,Le chapitre '{0}' du PDA a été activé automatiquement. Ouvrez votre PDA avec F1,Nel tuo PDA è stato attivato il capitolo '{0}'. Apri il PDA con F1,Ha sido activado el capítulo '{0}' en tu PDA. Abre el PDA con F1,"No seu capítulo PDA, '{0}' foi ativado. Abra PDA com F1","No seu PDA, o capítulo '{0}' foi ativado automaticamente. Abra seu PDA com F1",W Twoim PDA rozdział '{0}' został aktywowany. Aby otworzyć PDA wciśnij F1,В вашем КПК автоматически стал активным раздел '{0}'. Откройте ваш КПК при помощи F1,PDAのチャプター '{0}'がﾞアクティブになりました.  F1でPDAを開きます. ,你的PDA章节'{0}'已激活。按F1打开PDA,PDA中的'{0}'章節已啟動。按F1鍵開啟PDA,PDA 장에서 '{0}'이(가) 활성화되었습니다. F1을 사용하여 PDA 열기,,"Στο PDA σου, το κεφάλαιο '{0}' ενεργοποιήθηκε. Άνοιξε το PDA με το F1","In de PDA, is hoofdstuk '{0}' geactiveerd. Open de PDA met F1","Trong PDA, chương '{0}' của bạn đã được kích hoạt. Mở PDA bằng F1"
igmChapterCompleted,Congratulations! You completed PDA chapter '{0}',Glückwunsch! Du hast PDA Kapitel '{0}' erledigt,Félicitations ! Vous avez complété le chapitre «{0}» du PDA,Complimenti! Hai completato il capitolo '{0}' del PDA,¡Enhorabuena! Has completado el capítulo '{0}' del PDA,Parabéns! Concluiu o capítulo PDA '{0}',Parabéns! Você completou o capítulo do PDA '{0}',Gratulację! Zakończyłeś w swoim PDA rozdział '{0}',Поздравляем! Вы завершили раздел '{0}' из вашего КПК,"おめでとう!, PDAのチャプターを完了しました '{0}'",祝贺你！你完成了PDA章节 '{0}',恭喜！你完成了PDA第'{0}'章,축하합니다! PDA 장 '{0}'을(를) 완료하셨습니다.,,Συγχαρητήρια! Ολοκλήρωσες το κεφάλαιο '{0}' του PDA,Gefeliciteerd! Je hebt PDA hoofdstuk '{0}' voltooid.,Xin chúc mừng! Bạn đã hoàn thành chương PDA '{0}'
igmCloseDoor,Press '{{0}}' to close {0},Drücke '{{0}}' um {0} zu schliessen,Pressez '{{0}}' pour fermer: {0},Premi '{{0}}' per chiudere {0},Pulsa '{{0}}' para cerrar la {0},Prima '{{0}}' para fechar {0},Pressione '{{0}}' para fechar {0},Naciśnij '{{0}}' aby zamknąć {0},Нажмите '{{0}}' чтобы закрыть {0},{{0}}' を押して{0}を閉じる,按 '{{0}}'键关闭 {0},按'{{0}}'關閉{0},{0}을(를) 닫으려면 '{{0}}'을(를) 누르십시오.,,Πάτησε το '{{0}}' για να κλείσεις το αντικείμενο {0},Druk '{{0}}' om {0} te sluiten,Nhấn '{{0}}' để đóng {0}
igmConnectToBase,"To build here, point at a Base, press '{0}' and activate 'Connect to'","Um hier zu bauen, zeige auf eine Basis, drücke '{0}' und aktiviere 'Mit Basis verbinden'","Pour construire ici, pointez votre base, pressez '{0}' et activez 'Se connecter à'","Per costruire qui, guarda una Base, premi '{0}' e attiva 'Connetti a'","Para construir aquí, apunta a una Base, pulsa '{0}' y activa 'Conectar a'","Para construir aqui, aponte a uma Base, prima '{0}' e ative 'Ligar a'",Para construir aqui mire na sua base e aperte '{0}' para ativar o 'Conectar a Base',"Aby tutaj budować, wskaż bazę, naciśnij '{0}' i aktywuj 'Połącz się z'","Чтобы построить тут, наведите на базу, нажмите '{0}' и выберете 'Присоединить к'","ここにビルドするには, ベースをポイントして,  '{0}'を押して '接続'をアクティブにします. ",如果在此建造，先指向一个基地，按 '{0}'键并激活 '连接到',要在此建造，首先指向基地，按'{0}'然後啟動‘連線至’,여기에 건축하려면 기지를 가리키고 '{0}'을(를) 누른 후 '연결 대상'을 활성화하십시오.,,"Για να χτίσεις εδώ, κοίτα σε μία βάση, πάτησε το '{0}' και ενεργοποίησε την επιλογή 'Σύνδεση με'","Om hier te bouwen, kijk naar een basis, druk '{0}' en activeer 'Verbinden met'","Để xây dựng ở đây, hãy chỉ vào một Căn cứ, nhấn '{0}' và kích hoạt 'Kết nối với'"
igmContainerAccess,Press '{{0}}' to access {0},Drücke '{{0}}' um {0} zu öffnen,Pressez '{{0}}' pour accéder à: {0},Premi '{{0}}' per accedere a: {0},Pulsa '{{0}}' para acceder a {0},Prima '{{0}}' para aceder a {0},Pressione '{{0}}' para acessar {0},Naciśnij '{{0}}' aby uzyskać dostęp do {0},Нажмите '{{0}}' для доступа к {0},{{0}}' を押すと{0} にアクセスします. ,按'{{0}}'键以访问 {0},按'{{0}}'存取{0},{0}에 접근하려면 '{{0}}'을(를) 누르십시오.,,Πάτησε το '{{0}}' για αποκτήσεις πρόσβαση στο αντικείμενο {0},Druk '{{0}}' om {0} te gebruiken,Nhấn '{{0}}' để truy cập {0}
igmCoreAccess,Press '{0}' to open Control Panel,Drücke '{0}' um das Steuergerät zu benutzen,Pressez '{0}' pour ouvrir le panneau de contrôle,Premi '{0}' per aprire il Pannello di Controllo,Pulsa '{0}' para abrir el Panel de Control,Prima '{0}' para abrir o Painel de controlo,Pressione '{0}' para abrir o Painel de Controle,Naciśnij '{0}' aby otworzyć Panel Sterowania,"Нажмите '{0}', чтобы открыть Панель управления",{0}' を押してコントロールパネルを開きます,按'{0}'键以打开控制面板,按'{0}'開啟控制台,제어판을 열려면 '{0}'을(를) 누르십시오.,,Πάτησε το '{0}' για να ανοίξεις τον Πίνακα Ελέγχου,Druk '{0}' om Controle Paneel te openen,Nhấn '{0}' để mở Bảng điều khiển
igmCoreInfo,Core: {0} Faction,Kern: {0}-Fraktion,Noyau: {0} faction,Nucleo: Fazione {0},Núcleo: {0} Facción,Núcleo: {0} Fação,Núcleo: Facção {0},Rdzeń: {0} sojusz,Ядро: {0} Фракция,コア:{0}勢力,核心:{0}派系,核心：{0}陣營,코어: {0} 진영,,Πυρήνας: {0} Φατρίας,Kern: {0} Factie,Lõi: thuộc {0}
igmCreatedNew,Created new {0} ({1}),Neue {0} ({1}) kreiert,Nouveau {0} ({1}) créé,Hai Creato: {0} ({1}),Creado nuevo {0} ({1}),Criado novo {0} ({1}),Criou um novo(a) {0} ({1}),Stworzono nowy {0} ({1}),Создано новое {0} ({1}).,作成した新しい{0}({1}),创建新的 {0} ({1}),建立新{0} ({1}),,,Δημιουργήθηκε νέο {0} ({1}),Nieuwe {0} ({1}) gemaakt,Đã tạo {0} mới ({1})
igmCurrentlyOccupied,Currently occupied!,Im Augenblick belegt!,Occupé !,Attualmente Occupato!,¡Ocupado en este momento!,Atualmente ocupado!,Atualmente ocupado!,Obecnie zajęte!,В текущий момент занято!,現在占有されています!,当前被占用！,目前被佔用！,,,Προς το παρόν κατειλημμένο!,Bezet!,Hiện đang bị chiếm đóng!
igmCurrentlyOccupiedBy,Currently occupied by {0}!,Im Augenblick von {0} belegt!,Occupé par {0},Attualmente Occupato da {0}!,¡Ocupado en este momento por {0}!,Atualmente ocupado por {0}!,Atualmente ocupado por {0}!,Obecnie zajęte przez {0}!,Занято игроком {0}!,"現在, {0} によって占有されています!",当前被{0}占用！,目前被{0}佔用！,,,Προς το παρόν κατειλημμένο από {0}!,Bezet door {0}!,Hiện đang bị chiếm bởi {0}!
igmCVCannotEnterPlanet,"You cannot enter this planet with a CV, please turn around","Du kannst den Planeten nicht mit einem GR anfliegen, bitte dreh um","Vous ne pouvez pas atterrir sur cette planète avec un CV, vous devez faire demi-tour","Impossibile entrare in questo pianeta con una NC, torna indietro","No puedes entrar en este planeta con una NP, da la vuelta",Não pode entrar neste planeta com uma NC. Dê a volta.,"Você não pode entrar neste setor com uma NC, por favor retorne","Nie możesz wlecieć na tę planetę za pomocą CV, prosimy zawrócić",Вы не можете приземлиться БС на эту планету. Вернитесь назад.,CVではこの惑星に侵入できません,你不能驾驶主力舰进入此星球，请掉头,無法駕駛主力飛船進入此行星，請掉頭,,,Δεν μπορείς να μπεις σε αυτόν τον πλανήτη με ένα CV. Γύρνα Πίσω,"Je kunt deze planeet niet met een CV betreden, keer om","Bạn không thể bước vào hành tinh này với một CV, vui lòng quay lại"
igmCVsNotAllowed,Capital vessels are not allowed to spawn in this playfield,Grosse Raumschiffe dürfen in diesem Spielfeld nicht gespawnt werden,Les vaisseaux mère ne sont pas autorisés à spawner à cet endroit du jeu,Non è permesso generare Navi Capitali in quest'area di gioco,No se permite generar Naves Capital en este campo de juego,Não é permitida a criação de naves capitais neste campo de jogo,Naves Mãe não podem ser criadas neste setor,Okręty dowodzenia nie mogą być umieszczane w tej strefie,БС не может быть призвано на это Игровое Поле!,CVをこの場所で作成することはできません,不允许在此区域生成主力舰,主力飛船無法在此遊戲場地中生成,,,Δεν επιτρέπεται η δημιουργία Κεντρικών Σκαφών σε αυτό το πεδίο παιχνιδιού,Grote schepen mogen niet spawnen op dit speelveld,Các tàu hạm không được phép xuất hiện trong sân chơi này
igmDetachNotPossible,You cannot do this now - you have to wait,Du kannst das momentan nicht machen - du musst etwas warten,Impossible pour le moment,"Non puoi farlo ora, devi aspettare","No puedes hacer esto ahora, tienes que esperar.",Não pode fazer isto agora. Tem de aguardar.,Você não pode fazer isso agora - você precisa esperar,Nie możesz tego teraz zrobić - musisz poczekać,Невозможно выполнить это сейчас - подождите немного,まだ実行する事はできません.  - お待ちください. ,你目前还不能做这个 - 请等待,目前無法進行此操作 - 請等待,,,Δεν μπορείς να το κάνεις αυτό τώρα - πρέπει να περιμένεις,Je kunt dit nu niet doen - je zult moeten wachten.,Bạn không thể làm điều này ngay bây giờ - bạn phải đợi
igmDieWhenContinueFlying,If you continue flying you will die!,"Wenn du weiter fliegst, wirst du sterben!","Si vous continuez à voler, vous allez mourir!","Se continui a volare, morirai!","¡Si continúas volando, morirás!","Se continuar a voar, morre!",Se você continuar voando morrerá!,Jeśli będziesz kontynuować swój lot to umrzesz!,"Если вы продолжите полет, то будете уничтожены!","このまま飛び続ければ, 死んでしまうでしょう!",如果你继续飞行你会狗带！,如果你繼續飛行會導致死亡！,계속 비행하면 죽게 됩니다!,,Εάν συνεχίσεις να πετάς θα πεθάνεις!,Als je doorgaat met vliegen zul je sterven!,"Nếu bạn tiếp tục bay, bạn sẽ chết!"
igmDieWhenLeavingWorld,"If you continue leaving the world, you will die!","Wenn du weiter in Richtung Orbit fliegst, wirst du sterben!","Si vous continuez à voler vers l'espace, vous allez mourir!","Se continui ad andare verso l'orbita, morirai!","¡Si continúas abandonando el mundo, morirás!","Se continuar a deixar o mundo, morre!","Se você continuar saindo do mundo, você morrerá!",Jeśli będziesz kontynuować opuszczanie planety to umrzesz!,"Если вы продолжите покидать локацию, то вы и ваше судно будут уничтожены!","この世界から離れようとし続ければ, 死んでしまうでしょう!",如果你坚持离开此世界，你会狗带！,如果你繼續選擇離開此星球會導致死亡！,계속 세상을 떠나면 죽게 됩니다!,,"Εάν συνεχίσεις να αφήνεις τον κόσμο, θα πεθάνεις!",Als je doorgaat met het erlaten van de planeet zul je sterven!,"Nếu bạn tiếp tục rời khỏi thế giới, bạn sẽ chết!"
igmDrillerInWrongMode,"You cannot drill this, please switch to the right drilling mode","Du kannst das nicht abbauen, bitte schalte in den richtigen Drillmodus um","Vous ne pouvez forer ceci, utilisez le bon mode de forage","Impossibile scavare questo materiale con la modalità selezionata, passa a quella giusta","No puedes perforar esto, cambia al modo correcto de perforación",Não pode furar isto. Mude para o modo de perfuração correto.,"Você não pode perfurar isso, mude para o modo de perfuração correto","Nie możesz tego wykopać, przełącz na odpowiedni tryb kopania","Вы не можете добывать это, измените режим добычи.",破壊できません. 正しいドリルモードに切り替えてください,你不能钻探这个，请切换到正确的挖掘模式,無法使用鑽機，請選擇正確鑽機模式,드릴링할 수 없습니다. 올바른 드릴링 모드로 전환하십시오.,,"Δεν μπορείς να το τρυπήσεις αυτό, άλλαξε στη σωστή λειτουργεία γεώτρησης","U kunt dit niet boren, schakel naar de juiste boormodus","Bạn không thể khoan cái này, vui lòng chuyển sang chế độ khoan phù hợp"
igmDroneBaseAttack,Warning! Drones are on their way to attack your base,Warnung! Drohnen sind auf dem Weg um deine Basis anzugreifen,Avertissement ! Des drones se préparent à attaquer votre base,Attenzione! I droni si preparano ad attaccare la tua base,¡Advertencia! Hay drones en camino para atacar tu base,Aviso! Os drones estão a caminho para atacarem a sua base,Atenção! Drones estão a caminho de atacar sua base,"Ostrzeżenie! Drony są w drodze, aby zaatakować Twoją bazę",Внимание! Дроны отправились атаковать вашу базу,警告!あなたの基地へ向けてドローンが出撃しました. ,警告！攻击你基地的无人机已上路！,警告！無人機正向基地發動攻擊,,,Προειδοποίηση! Τα Drones είναι καθ' οδόν για να επιτεθούν στην βάση σου,Waarschuwing! Er zijn Drones onderweg om je basis aan te vallen.,Cảnh báo! Drone đang trên đường tấn công căn cứ của bạn
igmDroneBaseDisabled,Congratulations! You have disabled the drone base. There will be no new drone attacks,Gratulation! Du hast die Drohnenbasis ausgeschalten. Es wird nun keine neuen Drohnenangriffe mehr geben.,Félicitations ! Vous avez désactivé la base des drones. Il n'y aura plus d'attaques de drones.,Complimenti! Hai disattivato la base dei droni. Non ci saranno nuovi attacchi da parte di droni,¡Enhorabuena! Has deshabilitado la base dron. Ya no habrá más ataques dron,Parabéns! Desativou a base drone. Não haverá mais nenhum ataque de drones,Parabéns! Você desabilitou a base de drones. Não haverá novos ataques de drones,Gratulacje! Baza dronów została zneutralizowana. Powstrzyma ich to przed kolejnymi atakami na twoją bazę,Замечательно! Вы отключили базу дронов. Больше отсюда не будет никаких атак,おめでとう!ドローンベースを無効にしました. 新しいドローン攻撃は行われません,祝贺你！你已经摧毁了无人机基地。不会再有新的无人机骚扰你！,恭喜！你已關閉無人機基地。不會再有新無人機攻擊,축하합니다! 드론 기지를 비활성화하셨습니다. 새로운 드론 공격이 없습니다.,,Συγχαρητήρια! Έχεις απενεργοποιήσει την βάση των Drone. Δεν θα υπάρξουν πλέον επιθέσεις από Drone,Gefeliciteerd! Je hebt de Drone basis uitgeschakeld. Er zullen geen nieuwe Drone aanvallen plaatsvinden.,Xin chúc mừng! Bạn đã vô hiệu hóa căn cứ Drone. Sẽ không có các cuộc tấn công bằng Drone mới
igmEffectAlienParasiteStep1,An Alien parasite infected you. An antidote injection will prevent it from spreading out.,Ein Alien-Parasit hat dich infiziert. Spritze dir ein Gegengift bevor er sich ausbreitet!,Un parasite Alien vous a infecté. Une injection d'antidote peut vous sauver.,Un parassita alieno ti ha infettato. Un'iniezione di antidoto può impedire la sua diffusione.,Un parásito alienígena te ha infectado. Una inyección de antídoto evitará que se expanda.,Foi infetado por um parasita Alien. Uma injeção antídoto evita que se espalhe.,Um parasita alienígena infectou você. Uma injeção de antídoto impedirá que ele se espalhe.,Zostałeś zainfekowany kosmicznym pasożytem. Zastrzyk z odtrutką powstrzymałby jego rozprzestrzenianie.,Внутри вас поселился инопланетный паразит. Инъекция противоядия предотвратит его распространение.,エイリアンの寄生虫に感染しました. 解毒剤の注射で進行を防ぐことができます. ,一种外星寄生虫感染了你。你需要解毒注射液来防止病毒扩散。,外星寄生蟲已將你感染。注射解藥可防止其傳播。,외계 기생충이 감염을 일으켰습니다. 해독제 주사는 기생충 확산 방지에 도움이 됩니다.,,Έχεις μολυνθεί από ένα Εξωγήινο παράσιτο. Μία αντιβιοτική ένεση θα εμποδίσει την εξάπλωση.,Je bent geinfecteerd met een buitenaardse parasiet. Een tegengif injectie voorkomt dat het zich verspreid.,Một ký sinh trùng ngoài hành tinh đã lây nhiễm cho bạn. Tiêm thuốc giải độc sẽ ngăn không cho nó lây lan ra ngoài.
